id,name,link,model,valoration,valorations,price,shippingCosts,seller,date
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1160.01,0,solufficio,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1254.05,3.94,nrsolutions,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1299.0,5.99,TechPoint1111,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1288.12,13.59,x-targets,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1333.0,5.99,TechPoint1111,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1026.19,12.74,x-targets,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1627.27,0,ComputerPirates ES,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1093.55,0,JTC Computer Store,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1261.0,0,Solution 4YOU,27/10/2021 17:57:49
B08XQWR62V,EVGA GeForce RTX 3060 XC GAMING - 12G-P5-3657-KR - 12GB GDDR6 - Dual-Ventilador - Backplate de Metal,https://www.amazon.es/EVGA-GeForce-12G-P5-3657-KR-Dual-Ventilador-Backplate/dp/B08XQWR62V/ref=sr_1_1,rtx 3060,4.5,29,1299.81,34.06,E-stock Electronics,27/10/2021 17:57:49
